pixel_number,pixel_type,x_position,y_position,module_number,board_number,channel_number,board_id_number,pixel_on,relative_qe,a,r,c
0,1,0.0,0.0,0,0,0,0x0,1,1.0,0,29,48
1,1,2.43,0.0,0,1,0,0x0,1,1.0,0,29,49
2,1,1.215,2.104,0,2,0,0x0,1,1.0,1,28,49
3,1,-1.215,2.104,0,3,0,0x0,1,1.0,1,28,48
4,1,-2.43,0.0,0,4,0,0x0,1,1.0,0,29,47
5,1,-1.215,-2.104,0,5,0,0x0,1,1.0,1,29,48
6,1,1.215,-2.104,0,6,0,0x0,1,1.0,1,29,49
7,1,4.86,4.209,1,0,0,0x1,1,1.0,0,28,50
8,1,7.29,4.209,1,1,0,0x1,1,1.0,0,28,51
9,1,6.075,6.313,1,2,0,0x1,1,1.0,1,27,51
10,1,3.645,6.313,1,3,0,0x1,1,1.0,1,27,50
11,1,2.43,4.209,1,4,0,0x1,1,1.0,0,28,49
12,1,3.645,2.104,1,5,0,0x1,1,1.0,1,28,50
13,1,6.075,2.104,1,6,0,0x1,1,1.0,1,28,51
14,1,-1.215,6.313,2,0,0,0x2,1,1.0,1,27,48
15,1,1.215,6.313,2,1,0,0x2,1,1.0,1,27,49
16,1,0.0,8.418,2,2,0,0x2,1,1.0,0,27,48
17,1,-2.43,8.418,2,3,0,0x2,1,1.0,0,27,47
18,1,-3.645,6.313,2,4,0,0x2,1,1.0,1,27,47
19,1,-2.43,4.209,2,5,0,0x2,1,1.0,0,28,47
20,1,0.0,4.209,2,6,0,0x2,1,1.0,0,28,48
21,1,-6.075,2.104,3,0,0,0x3,1,1.0,1,28,46
22,1,-3.645,2.104,3,1,0,0x3,1,1.0,1,28,47
23,1,-4.86,4.209,3,2,0,0x3,1,1.0,0,28,46
24,1,-7.29,4.209,3,3,0,0x3,1,1.0,0,28,45
25,1,-8.505,2.104,3,4,0,0x3,1,1.0,1,28,45
26,1,-7.29,0.0,3,5,0,0x3,1,1.0,0,29,45
27,1,-4.86,0.0,3,6,0,0x3,1,1.0,0,29,46
28,1,-4.86,-4.209,4,0,0,0x4,1,1.0,0,30,46
