module_number,full_x_position,full_y_position,full_a,full_r,full_c,shrinked_a,shrinked_r,shrinked_c
0,0.0,0.0,0,29,48,1,9,19
1,4.86,4.209,0,28,50,0,9,19
2,-1.215,6.313,1,27,48,0,9,18
3,-6.075,2.104,1,28,46,1,9,18
4,-4.86,-4.209,0,30,46,0,10,18
5,1.215,-6.313,1,30,49,0,10,19
6,6.075,-2.104,1,29,51,1,9,20
7,9.72,8.418,0,27,52,1,8,20
8,3.645,10.522,1,26,50,1,8,19
9,14.58,12.627,0,26,54,0,8,20
10,2.43,16.836,0,25,49,0,8,18
11,19.44,16.836,0,25,56,1,7,21
12,1.215,23.149,1,23,49,1,7,18
13,24.3,21.044,0,24,58,0,7,21
14,0.0,29.462,0,22,48,0,7,17
15,29.16,25.253,0,23,60,1,6,22
16,-1.215,35.776,1,20,48,1,6,17
17,34.02,29.462,0,22,62,0,6,22
18,-2.43,42.089,0,19,47,0,6,16
19,38.88,33.671,0,21,64,1,5,23
20,-3.645,48.402,1,17,47,1,5,16
21,43.74,37.88,0,20,66,0,5,23
22,-4.86,54.715,0,16,46,0,5,15
23,48.6,42.089,0,19,68,1,4,24
24,-6.075,61.029,1,14,46,1,4,15
25,53.46,46.298,0,18,70,0,4,24
26,-7.29,67.342,0,13,45,0,4,14
27,58.32,50.507,0,17,72,1,3,25
28,-8.505,73.655,1,11,45,1,3,14
29,63.18,54.715,0,16,74,0,3,25
30,-9.72,79.969,0,10,44,0,3,13
31,68.04,58.924,0,15,76,1,2,26
32,-10.935,86.282,1,8,44,1,2,13
33,72.9,63.133,0,14,78,0,2,26
34,-12.15,92.595,0,7,43,0,2,12
35,77.76,67.342,0,13,80,1,1,27
36,-13.365,98.909,1,5,43,1,1,12
37,82.62,71.551,0,12,82,0,1,27
38,-14.58,105.222,0,4,42,0,1,11
39,87.48,75.76,0,11,84,1,0,28
40,-15.795,111.535,1,2,42,1,0,11
41,92.34,79.969,0,10,86,0,0,28
42,-17.01,117.849,0,1,41,0,0,10
43,8.505,14.731,1,25,52,0,8,19
44,13.365,18.94,1,24,54,1,7,20
45,7.29,21.044,0,24,51,1,7,19
46,18.225,23.149,1,23,56,0,7,20
47,6.075,27.358,1,22,51,0,7,18
48,23.085,27.358,1,22,58,1,6,21
49,4.86,33.671,0,21,50,1,6,18
50,27.945,31.567,1,21,60,0,6,21
51,3.645,39.984,1,19,50,0,6,17
52,32.805,35.776,1,20,62,1,5,22
53,2.43,46.298,0,18,49,1,5,17
54,37.665,39.984,1,19,64,0,5,22
55,1.215,52.611,1,16,49,0,5,16
56,42.525,44.193,1,18,66,1,4,23
57,0.0,58.924,0,15,48,1,4,16
