a,r,c,x,y
0,29,48,48.501,50.230473419497436
0,29,49,49.50099998340522,50.230473419497436
1,28,49,49.000999991702614,49.364632477011924
1,28,48,48.00100000829739,49.364632477011924
0,29,47,47.50100001659478,50.230473419497436
1,29,48,48.00100000829739,51.09631436198295
1,29,49,49.000999991702614,51.09631436198295
0,28,50,50.50099996681045,48.49838006752168
0,28,51,51.50099987356361,48.49838006752168
1,27,51,51.00099999683909,47.63253912503617
1,27,50,50.0009999367818,47.63253912503617
0,28,49,49.50099998340522,48.49838006752168
1,28,50,50.0009999367818,49.364632477011924
1,28,51,51.00099999683909,49.364632477011924
1,27,48,48.00100000829739,47.63253912503617
1,27,49,49.000999991702614,47.63253912503617
0,27,48,48.501,46.76628671554591
0,27,47,47.50100001659478,46.76628671554591
1,27,47,47.0010000632182,47.63253912503617
0,28,47,47.50100001659478,48.49838006752168
0,28,48,48.501,48.49838006752168
1,28,46,46.00100000316091,49.364632477011924
1,28,47,47.0010000632182,49.364632477011924
0,28,46,46.501000033189555,48.49838006752168
0,28,45,45.501000126436395,48.49838006752168
1,28,45,45.00099994310362,49.364632477011924
0,29,45,45.501000126436395,50.230473419497436
0,29,46,46.501000033189555,50.230473419497436
0,30,46,46.501000033189555,51.9625667714732
0,30,47,47.50100001659478,51.9625667714732
1,29,47,47.0010000632182,51.09631436198295
1,29,46,46.00100000316091,51.09631436198295
0,30,45,45.501000126436395,51.9625667714732
1,30,46,46.00100000316091,52.82840771395871
1,30,47,47.0010000632182,52.82840771395871
1,30,49,49.000999991702614,52.82840771395871
1,30,50,50.0009999367818,52.82840771395871
0,30,49,49.50099998340522,51.9625667714732
0,30,48,48.501,51.9625667714732
1,30,48,48.00100000829739,52.82840771395871
0,31,48,48.501,53.694660123448955
0,31,49,49.50099998340522,53.694660123448955
1,29,51,51.00099999683909,51.09631436198295
1,29,52,52.00100005689638,51.09631436198295
0,29,51,51.50099987356361,50.230473419497436
0,29,50,50.50099996681045,50.230473419497436
1,29,50,50.0009999367818,51.09631436198295
0,30,50,50.50099996681045,51.9625667714732
0,30,51,51.50099987356361,51.9625667714732
0,27,52,52.500999933620896,46.76628671554591
0,27,53,53.50099999367818,46.76628671554591
1,26,53,53.00100011695366,45.900445773060405
1,26,52,52.00100005689638,45.900445773060405
0,27,51,51.50099987356361,46.76628671554591
1,27,52,52.00100005689638,47.63253912503617
1,27,53,53.00100011695366,47.63253912503617
1,26,50,50.0009999367818,45.900445773060405
1,26,51,51.00099999683909,45.900445773060405
0,26,50,50.50099996681045,45.034193363570154
0,26,49,49.50099998340522,45.034193363570154
1,26,49,49.000999991702614,45.900445773060405
0,27,49,49.50099998340522,46.76628671554591
0,27,50,50.50099996681045,46.76628671554591
0,26,54,54.50099974712721,45.034193363570154
0,26,55,55.501000113792756,45.034193363570154
1,25,55,55.00099993045998,44.168352114477344
1,25,54,54.00100017701095,44.168352114477344
0,26,53,53.50099999367818,45.034193363570154
1,26,54,54.00100017701095,45.900445773060405
1,26,55,55.00099993045998,45.900445773060405
0,25,49,49.50099998340522,43.30210001159439
0,25,50,50.50099996681045,43.30210001159439
1,24,50,50.0009999367818,42.43625876250158
1,24,49,49.000999991702614,42.43625876250158
0,25,48,48.501,43.30210001159439
1,25,49,49.000999991702614,44.168352114477344
1,25,50,50.0009999367818,44.168352114477344
0,25,56,56.50099986724179,43.30210001159439
0,25,57,57.50100023390733,43.30210001159439
1,24,57,57.001000050574554,42.43625876250158
1,24,56,56.000999683909015,42.43625876250158
0,25,55,55.501000113792756,43.30210001159439
1,25,56,56.000999683909015,44.168352114477344
1,25,57,57.001000050574554,44.168352114477344
1,23,49,49.000999991702614,40.704165410525825
1,23,50,50.0009999367818,40.704165410525825
0,23,49,49.50099998340522,39.838324161433
0,23,48,48.501,39.838324161433
1,23,48,48.00100000829739,40.704165410525825
0,24,48,48.501,41.57041812662337
0,24,49,49.50099998340522,41.57041812662337
0,24,58,58.50099998735636,41.57041812662337
0,24,59,59.5010003540219,41.57041812662337
1,23,59,59.000999557472625,40.704165410525825
1,23,58,58.000999804023586,40.704165410525825
0,24,57,57.50100023390733,41.57041812662337
1,24,58,58.000999804023586,42.43625876250158
1,24,59,59.000999557472625,42.43625876250158
0,22,48,48.501,38.106230809457244
0,22,49,49.50099998340522,38.106230809457244
1,21,49,49.000999991702614,37.23997809335969
1,21,48,48.00100000829739,37.23997809335969
0,22,47,47.50100001659478,38.106230809457244
1,22,48,48.00100000829739,38.972071445335445
1,22,49,49.000999991702614,38.972071445335445
0,23,60,60.50099949425442,39.838324161433
0,23,61,61.50099986091997,39.838324161433
1,22,61,61.0010002908037,38.972071445335445
1,22,60,60.00099992413816,38.972071445335445
0,23,59,59.5010003540219,39.838324161433
1,23,60,60.00099992413816,40.704165410525825
1,23,61,61.0010002908037,40.704165410525825
1,20,48,48.00100000829739,35.507884741383926
1,20,49,49.000999991702614,35.507884741383926
0,20,48,48.501,34.642044105505725
0,20,47,47.50100001659478,34.642044105505725
1,20,47,47.0010000632182,35.507884741383926
0,21,47,47.50100001659478,36.37413745748149
0,21,48,48.501,36.37413745748149
0,22,62,62.50100022758551,38.106230809457244
0,22,63,63.50099936781803,38.106230809457244
1,21,63,63.000999797701766,37.23997809335969
1,21,62,62.00099943103623,37.23997809335969
0,22,61,61.50099986091997,38.106230809457244
1,22,62,62.00099943103623,38.972071445335445
1,22,63,63.000999797701766,38.972071445335445
0,19,47,47.50100001659478,32.90995075352996
0,19,48,48.501,32.90995075352996
1,18,48,48.00100000829739,32.04411011765175
1,18,47,47.0010000632182,32.04411011765175
0,19,46,46.501000033189555,32.90995075352996
1,19,47,47.0010000632182,33.77620346962751
1,19,48,48.00100000829739,33.77620346962751
0,21,64,64.50099973448359,36.37413745748149
0,21,65,65.50100010114912,36.37413745748149
1,20,65,65.00100053103286,35.507884741383926
1,20,64,64.00100016436731,35.507884741383926
0,21,63,63.50099936781803,36.37413745748149
1,21,64,64.00100016436731,37.23997809335969
1,21,65,65.00100053103286,37.23997809335969
1,17,47,47.0010000632182,30.312016765676002
1,17,48,48.00100000829739,30.312016765676002
0,17,47,47.50100001659478,29.445765276007673
0,17,46,46.501000033189555,29.445765276007673
1,17,46,46.00100000316091,30.312016765676002
0,18,46,46.501000033189555,31.177857401554217
0,18,47,47.50100001659478,31.177857401554217
0,20,66,66.50100046781466,34.642044105505725
0,20,67,67.5009996080472,34.642044105505725
1,19,67,67.00100003793094,33.77620346962751
1,19,66,66.00099967126538,33.77620346962751
0,20,65,65.50100010114913,34.642044105505725
1,20,66,66.00099967126538,35.507884741383926
1,20,67,67.00100003793092,35.507884741383926
0,16,46,46.501000033189555,27.714081551392805
0,16,47,47.50100001659478,27.714081551392805
1,15,47,47.0010000632182,26.847830061724476
1,15,46,46.00100000316091,26.847830061724476
0,16,45,45.501000126436395,27.714081551392805
1,16,46,46.00100000316091,28.57992341370024
1,16,47,47.0010000632182,28.57992341370024
0,19,68,68.50099997471273,32.90995075352996
0,19,69,69.50099911494524,32.90995075352996
1,18,69,69.000999544829,32.04411011765175
1,18,68,68.00100040459647,32.04411011765175
0,19,67,67.50099960804718,32.90995075352996
1,19,68,68.00100040459647,33.77620346962751
1,19,69,69.00099954482899,33.77620346962751
1,14,46,46.00100000316091,25.115736709748713
1,14,47,47.0010000632182,25.115736709748713
0,14,46,46.501000033189555,24.249894847441293
0,14,45,45.501000126436395,24.249894847441293
1,14,45,45.00099994310362,25.115736709748713
0,15,45,45.501000126436395,25.981988199417042
0,15,46,46.501000033189555,25.981988199417042
0,18,70,70.50100070804382,31.177857401554217
0,18,71,71.50099984827634,31.177857401554217
1,17,71,71.00100027816008,30.312016765676002
1,17,70,70.00099868506153,30.312016765676002
0,18,69,69.50099911494524,31.177857401554217
