a,r,c,a_shrinked,r_shrinked,c_shrinked
0,29,48,1,9,19
0,28,50,0,9,19
1,27,48,0,9,18
1,28,46,1,9,18
0,30,46,0,10,18
1,30,49,0,10,19
1,29,51,1,9,20
0,27,52,1,8,20
1,26,50,1,8,19
0,26,54,0,8,20
0,25,49,0,8,18
0,25,56,1,7,21
1,23,49,1,7,18
0,24,58,0,7,21
0,22,48,0,7,17
0,23,60,1,6,22
1,20,48,1,6,17
0,22,62,0,6,22
0,19,47,0,6,16
0,21,64,1,5,23
1,17,47,1,5,16
0,20,66,0,5,23
0,16,46,0,5,15
0,19,68,1,4,24
1,14,46,1,4,15
0,18,70,0,4,24
0,13,45,0,4,14
0,17,72,1,3,25
1,11,45,1,3,14
0,16,74,0,3,25
0,10,44,0,3,13
0,15,76,1,2,26
1,8,44,1,2,13
0,14,78,0,2,26
0,7,43,0,2,12
0,13,80,1,1,27
1,5,43,1,1,12
0,12,82,0,1,27
0,4,42,0,1,11
0,11,84,1,0,28
1,2,42,1,0,11
0,10,86,0,0,28
0,1,41,0,0,10
1,25,52,0,8,19
1,24,54,1,7,20
0,24,51,1,7,19
1,23,56,0,7,20
1,22,51,0,7,18
1,22,58,1,6,21
0,21,50,1,6,18
1,21,60,0,6,21
1,19,50,0,6,17
1,20,62,1,5,22
0,18,49,1,5,17
1,19,64,0,5,22
1,16,49,0,5,16
1,18,66,1,4,23
0,15,48,1,4,16
1,17,68,0,4,23
1,13,48,0,4,15
1,16,70,1,3,24
0,12,47,1,3,15
1,15,72,0,3,24
1,10,47,0,3,14
1,14,74,1,2,25
0,9,46,1,2,14
1,13,76,0,2,25
1,7,46,0,2,13
1,12,78,1,1,26
0,6,45,1,1,13
1,11,80,0,1,26
1,4,45,0,1,12
1,10,82,1,0,27
0,3,44,1,0,12
1,9,84,0,0,27
1,1,44,0,0,11
0,23,53,0,7,19
0,22,55,1,6,20
1,21,53,1,6,19
0,21,57,0,6,20
0,20,52,0,6,18
0,20,59,1,5,21
1,18,52,1,5,18
0,19,61,0,5,21
0,17,51,0,5,17
0,18,63,1,4,22
1,15,51,1,4,17
0,17,65,0,4,22
0,14,50,0,4,16
0,16,67,1,3,23
1,12,50,1,3,16
0,15,69,0,3,23
0,11,49,0,3,15
0,14,71,1,2,24
1,9,49,1,2,15
0,13,73,0,2,24
0,8,48,0,2,14
0,12,75,1,1,25
1,6,48,1,1,14
0,11,77,0,1,25
0,5,47,0,1,13
0,10,79,1,0,26
1,3,47,1,0,13
0,9,81,0,0,26
0,2,46,0,0,12
1,20,55,0,6,19
1,19,57,1,5,20
0,19,54,1,5,19
1,18,59,0,5,20
1,17,54,0,5,18
1,17,61,1,4,21
0,16,53,1,4,18
1,16,63,0,4,21
1,14,53,0,4,17
1,15,65,1,3,22
0,13,52,1,3,17
1,14,67,0,3,22
1,11,52,0,3,16
1,13,69,1,2,23
0,10,51,1,2,16
1,12,71,0,2,23
1,8,51,0,2,15
1,11,73,1,1,24
0,7,50,1,1,15
1,10,75,0,1,24
1,5,50,0,1,14
1,9,77,1,0,25
0,4,49,1,0,14
1,8,79,0,0,25
1,2,49,0,0,13
0,18,56,0,5,19
0,17,58,1,4,20
1,16,56,1,4,19
0,16,60,0,4,20
0,15,55,0,4,18
0,15,62,1,3,21
1,13,55,1,3,18
0,14,64,0,3,21
0,12,54,0,3,17
0,13,66,1,2,22
1,10,54,1,2,17
0,12,68,0,2,22
0,9,53,0,2,16
0,11,70,1,1,23
1,7,53,1,1,16
0,10,72,0,1,23
0,6,52,0,1,15
0,9,74,1,0,24
1,4,52,1,0,15
0,8,76,0,0,24
0,3,51,0,0,14
1,15,58,0,4,19
